train_serial,train_timestamp,model_str,optimizer_str,loss_function_str,metric_function_str,early_stopping_patience,batch_size,epoch,learning_rate,momentum,random_seed,epoch_index,train_loss,validation_loss,train_score,validation_score
DNN_20210401_050912,20210401_050912,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,0,1.8049865523519715,1.2163977705914042,0.4313093895957481,0.7014492753623188
DNN_20210401_050912,20210401_050912,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,1,0.8757176453373363,0.6380383443141329,0.7661459172169431,0.808695652173913
DNN_20210401_050912,20210401_050912,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,2,0.5473993302428372,0.48234569934075294,0.853599613464326,0.855072463768116
DNN_20210401_050912,20210401_050912,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,3,0.4213237721988363,0.3959186336268549,0.8869383153486874,0.8782608695652174
DNN_20210401_050912,20210401_050912,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,4,0.3551035949630061,0.3547951979805594,0.9027218553712353,0.8956521739130435
DNN_20210401_050912,20210401_050912,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,5,0.3072568263888856,0.31196348170439403,0.9152842647769367,0.9246376811594202
DNN_20210401_050912,20210401_050912,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,6,0.2750064029576871,0.314647048279859,0.9236592043807377,0.9101449275362319
DNN_20210401_050912,20210401_050912,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,7,0.24490250171552028,0.33558657217257915,0.9328394266387502,0.8985507246376812
DNN_20210401_050912,20210401_050912,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,8,0.2248261340087279,0.26435995623469355,0.9368658399098083,0.9188405797101449
DNN_20210401_050912,20210401_050912,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,9,0.20398633542998168,0.2981572682550852,0.9434691576743437,0.9130434782608695
DNN_20210401_050912,20210401_050912,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,10,0.18827875267536068,0.25566736435976584,0.9487840231921404,0.9188405797101449
DNN_20210401_050912,20210401_050912,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,11,0.17242953234605213,0.24445192460325021,0.9544210017716218,0.9246376811594202
DNN_20210401_050912,20210401_050912,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,12,0.1576734617854071,0.24187706609178955,0.9584474150426799,0.9333333333333333
DNN_20210401_050912,20210401_050912,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,13,0.14508361555919397,0.23649701886418936,0.9613464325978418,0.936231884057971
DNN_20210401_050912,20210401_050912,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,14,0.13328605551704018,0.22522369666645925,0.9665002415847963,0.936231884057971
DNN_20210401_050912,20210401_050912,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,15,0.12053963761135604,0.22630849256031754,0.9690771460782734,0.9420289855072463
DNN_20210401_050912,20210401_050912,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,16,0.11240803085147998,0.21889516175261647,0.971815107102593,0.9420289855072463
DNN_20210401_050912,20210401_050912,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,17,0.10329252546955205,0.2332620661975681,0.9739088420035432,0.9304347826086956
