train_serial,train_timestamp,model_str,optimizer_str,loss_function_str,metric_function_str,early_stopping_patience,batch_size,epoch,learning_rate,momentum,random_seed,epoch_index,train_loss,validation_loss,train_score,validation_score
DNN_20210331_090817,20210331_090817,DNN,sgd,nll,accuracy,5,8,1,0.0001,0.5,42,0,1.8049865523519715,1.2163977705914042,0.4313093895957481,0.7014492753623188
DNN_20210401_050609,20210401_050609,DNN,sgd,nll,accuracy,5,8,1,0.0001,0.5,42,0,1.8049865523519715,1.2163977705914042,0.4313093895957481,0.7014492753623188
DNN_20210401_050912,20210401_050912,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,16,0.11240803085147998,0.21889516175261647,0.971815107102593,0.9420289855072463
DNN_20210401_051631,20210401_051631,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,11,0.04271341389923064,0.07755079982112216,0.9874863106358307,0.9739130434782609
