train_serial,train_timestamp,model_str,optimizer_str,loss_function_str,metric_function_str,early_stopping_patience,batch_size,epoch,learning_rate,momentum,random_seed,epoch_index,train_loss,validation_loss,train_score,validation_score
DNN_20210401_084551,20210401_084551,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,0,0.5709364816581778,0.2515176116707532,0.8325066031050699,0.9255072463768116
DNN_20210401_084551,20210401_084551,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,1,0.22827381565359328,0.19556913264851639,0.9338884236294531,0.9356521739130435
DNN_20210401_084551,20210401_084551,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,2,0.17197414161601426,0.14660070561844368,0.9493493525736004,0.952463768115942
DNN_20210401_084551,20210401_084551,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,3,0.13929570328966825,0.12467609379332567,0.9589641177607421,0.9617391304347827
DNN_20210401_084551,20210401_084551,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,4,0.11555721168736663,0.1277868143801807,0.9662597436062617,0.9620289855072464
DNN_20210401_084551,20210401_084551,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,5,0.09933320517686654,0.11745707051335848,0.9711718095728918,0.9649275362318841
DNN_20210401_084551,20210401_084551,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,6,0.08557001944829071,0.1006597204990955,0.9749726212716614,0.9669565217391304
DNN_20210401_084551,20210401_084551,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,7,0.07462975421983205,0.10180663547508985,0.9782419635379759,0.9652173913043478
DNN_20210401_084551,20210401_084551,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,8,0.06511527776308323,0.09167046430033118,0.9809798363718354,0.9701449275362319
DNN_20210401_084551,20210401_084551,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,9,0.057793574484259036,0.08751496943527076,0.9829607678928042,0.9710144927536232
DNN_20210401_084551,20210401_084551,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,10,0.0499869545638528,0.08836570331348913,0.9855375893834954,0.972463768115942
DNN_20210401_084551,20210401_084551,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,11,0.043943159774823756,0.08220785965795453,0.9877278876505831,0.9710144927536232
DNN_20210401_084551,20210401_084551,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,12,0.038654184009679196,0.07872663574478846,0.9894028216195323,0.9759420289855072
DNN_20210401_084551,20210401_084551,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,13,0.033553151338259944,0.08937118018048078,0.9911743863943825,0.9730434782608696
DNN_20210401_084551,20210401_084551,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,14,0.028896040404875544,0.07842947443542272,0.9925433228113123,0.9736231884057971
DNN_20210401_084551,20210401_084551,DNN,sgd,nll,accuracy,5,8,30,0.0001,0.5,42,15,0.025692357182489058,0.08812737994015164,0.993638471944856,0.9739130434782609
