2021-04-01 08:54:45,400 | train | INFO | Epoch 9, Train, Mean loss: 0.057793574484259036, Accuracy: 0.9829607678928042
2021-04-01 08:54:47,771 | train | INFO | Epoch 9, Validation, Mean loss: 0.08751496943527076, Accuracy: 0.9710144927536232
2021-04-01 08:54:47,772 | train | INFO | Early stopper, Validation loss decreased 0.09167046430033118 -> 0.08751496943527076
2021-04-01 08:54:47,772 | train | INFO | Write row 9
2021-04-01 08:54:47,787 | train | INFO | Model saved: /workspace/template_project/image_classification/results/train/DNN_20210401_084551/model.pt
2021-04-01 08:54:47,787 | train | INFO | Update best record row 10, check point s0.09167046430033118 -> 0.08751496943527076
2021-04-01 08:54:48,014 | train | INFO | Save performance plot /workspace/template_project/image_classification/results/train/DNN_20210401_084551
2021-04-01 08:55:38,299 | train | INFO | Epoch 10, Train, Mean loss: 0.0499869545638528, Accuracy: 0.9855375893834954
2021-04-01 08:55:40,517 | train | INFO | Epoch 10, Validation, Mean loss: 0.08836570331348913, Accuracy: 0.972463768115942
2021-04-01 08:55:40,518 | train | INFO | Early stopper, Early stopping counter 3/5
2021-04-01 08:55:40,518 | train | INFO | Write row 10
2021-04-01 08:55:40,773 | train | INFO | Save performance plot /workspace/template_project/image_classification/results/train/DNN_20210401_084551
2021-04-01 08:56:32,689 | train | INFO | Epoch 11, Train, Mean loss: 0.043943159774823756, Accuracy: 0.9877278876505831
2021-04-01 08:56:35,169 | train | INFO | Epoch 11, Validation, Mean loss: 0.08220785965795453, Accuracy: 0.9710144927536232
2021-04-01 08:56:35,170 | train | INFO | Early stopper, Validation loss decreased 0.08751496943527076 -> 0.08220785965795453
2021-04-01 08:56:35,170 | train | INFO | Write row 11
2021-04-01 08:56:35,183 | train | INFO | Model saved: /workspace/template_project/image_classification/results/train/DNN_20210401_084551/model.pt
2021-04-01 08:56:35,183 | train | INFO | Update best record row 12, check point s0.08751496943527076 -> 0.08220785965795453
2021-04-01 08:56:35,434 | train | INFO | Save performance plot /workspace/template_project/image_classification/results/train/DNN_20210401_084551
