2021-03-24 08:13:22,928 | train | INFO | Epoch 13, Validation, Mean loss: 0.2349685627717417, Accuracy: 0.9246376811594202
2021-03-24 08:13:22,928 | train | INFO | Early stopper, Early stopping counter 2/5
2021-03-24 08:13:32,104 | train | INFO | Epoch 14, Train, Mean loss: 0.13365476713290075, Accuracy: 0.9653728458688999
2021-03-24 08:13:36,009 | train | INFO | Epoch 14, Validation, Mean loss: 0.21707615368608116, Accuracy: 0.9333333333333333
2021-03-24 08:13:36,021 | train | INFO | Model saved: /workspace/template_project/image_classification/result/train/DNN_20210324_081000/model.pth
2021-03-24 08:13:36,021 | train | INFO | Early stopper, Validation loss decreased 0.2226533749829168 -> 0.21707615368608116
2021-03-24 08:13:45,573 | train | INFO | Epoch 15, Train, Mean loss: 0.1235800847370807, Accuracy: 0.9661781285231116
2021-03-24 08:13:50,219 | train | INFO | Epoch 15, Validation, Mean loss: 0.2247977634166381, Accuracy: 0.9304347826086956
2021-03-24 08:13:50,220 | train | INFO | Early stopper, Early stopping counter 3/5
2021-03-24 08:14:00,722 | train | INFO | Epoch 16, Train, Mean loss: 0.11361594460883599, Accuracy: 0.9698824287324851
2021-03-24 08:14:06,042 | train | INFO | Epoch 16, Validation, Mean loss: 0.23497540931878746, Accuracy: 0.9304347826086956
2021-03-24 08:14:06,042 | train | INFO | Early stopper, Early stopping counter 4/5
2021-03-24 08:14:16,648 | train | INFO | Epoch 17, Train, Mean loss: 0.10407456039484211, Accuracy: 0.9735867289418586
2021-03-24 08:14:20,173 | train | INFO | Epoch 17, Validation, Mean loss: 0.21808791758393045, Accuracy: 0.9478260869565217
2021-03-24 08:14:20,174 | train | INFO | Early stopper, Early stopping counter 5/5
